year,month,branchNumber,startDate,endDate,grossPremium,agentComm,reinsurancePremium,reinsuranceComm
2025,1,100,01/01/2025,28/02/2025,15211,1405,6396,36
2025,2,100,01/02/2025,31/03/2025,14172,1309,5959,34
2025,3,100,01/03/2025,30/04/2025,13543,1251,5695,32
2025,4,100,01/04/2025,31/05/2025,12440,1149,5231,30
2025,5,100,01/05/2025,30/06/2025,11616,1073,4885,28
2025,6,100,01/06/2025,31/07/2025,13055,1206,5490,31
2025,7,100,01/07/2025,31/08/2025,12059,1114,5071,29
2025,8,100,01/08/2025,30/09/2025,11750,1085,4941,28
2025,9,100,01/09/2025,31/10/2025,11822,1092,4971,28
2025,10,100,01/10/2025,30/11/2025,11997,1108,5045,29
2025,11,100,01/11/2025,31/12/2025,12025,1111,5057,29
2025,12,100,01/12/2025,31/01/2026,14193,1311,5968,34
2025,1,150,01/01/2025,28/02/2025,13594,329,9657,593
2025,2,150,01/02/2025,31/03/2025,12678,307,9006,553
2025,3,150,01/03/2025,30/04/2025,12129,294,8616,529
2025,4,150,01/04/2025,31/05/2025,11153,270,7923,486
2025,5,150,01/05/2025,30/06/2025,10426,253,7407,455
2025,6,150,01/06/2025,31/07/2025,9826,238,6980,429
2025,7,150,01/07/2025,31/08/2025,10772,261,7652,470
2025,8,150,01/08/2025,30/09/2025,10506,254,7463,458
2025,9,150,01/09/2025,31/10/2025,10581,256,7517,462
2025,10,150,01/10/2025,30/11/2025,10750,260,7637,469
2025,11,150,01/11/2025,31/12/2025,10787,261,7663,471
2025,12,150,01/12/2025,31/01/2026,10701,259,7602,467
2025,1,200,01/01/2025,28/02/2025,18568,1063,17222,270
2025,2,200,01/02/2025,31/03/2025,20552,1176,19062,299
2025,3,200,01/03/2025,30/04/2025,19680,1126,18253,286
2025,4,200,01/04/2025,31/05/2025,18116,1037,16803,263
2025,5,200,01/05/2025,30/06/2025,16953,970,15724,247
2025,6,200,01/06/2025,31/07/2025,15996,915,14836,233
2025,7,200,01/07/2025,31/08/2025,14739,844,13670,214
2025,8,200,01/08/2025,30/09/2025,14324,820,13286,208
2025,9,200,01/09/2025,31/10/2025,17161,982,15917,250
2025,10,200,01/10/2025,30/11/2025,17452,999,16187,254
2025,11,200,01/11/2025,31/12/2025,17530,1003,16259,255
2025,12,200,01/12/2025,31/01/2026,17410,996,16148,253
2025,1,210,01/01/2025,28/02/2025,28226,2244,23154,1070
2025,2,210,01/02/2025,31/03/2025,26332,2094,21600,998
2025,3,210,01/03/2025,30/04/2025,25199,2004,20671,955
2025,4,210,01/04/2025,31/05/2025,23181,1843,19015,878
2025,5,210,01/05/2025,30/06/2025,21678,1724,17782,822
2025,6,210,01/06/2025,31/07/2025,20438,1625,16765,775
2025,7,210,01/07/2025,31/08/2025,18817,1496,15436,713
2025,8,210,01/08/2025,30/09/2025,21817,1735,17896,827
2025,9,210,01/09/2025,31/10/2025,21981,1748,18031,833
2025,10,210,01/10/2025,30/11/2025,22338,1776,18324,847
2025,11,210,01/11/2025,31/12/2025,22423,1783,18394,850
2025,12,210,01/12/2025,31/01/2026,22253,1769,18254,843
2025,1,221,01/01/2025,28/02/2025,2216,63,568,27
2025,2,221,01/02/2025,31/03/2025,2060,58,528,25
2025,3,221,01/03/2025,30/04/2025,2345,66,601,28
2025,4,221,01/04/2025,31/05/2025,2160,61,553,26
2025,5,221,01/05/2025,30/06/2025,2022,57,518,24
2025,6,221,01/06/2025,31/07/2025,1908,54,489,23
2025,7,221,01/07/2025,31/08/2025,1759,50,451,21
2025,8,221,01/08/2025,30/09/2025,1710,48,438,21
2025,9,221,01/09/2025,31/10/2025,2045,58,524,25
2025,10,221,01/10/2025,30/11/2025,2080,59,533,25
2025,11,221,01/11/2025,31/12/2025,2090,59,535,25
2025,12,221,01/12/2025,31/01/2026,2077,59,532,25
2025,1,225,01/01/2025,28/02/2025,26674,99,21136,728
2025,2,225,01/02/2025,31/03/2025,24860,92,19699,678
2025,3,225,01/03/2025,30/04/2025,23766,88,18832,648
2025,4,225,01/04/2025,31/05/2025,21839,81,17305,596
2025,5,225,01/05/2025,30/06/2025,20399,76,16164,557
2025,6,225,01/06/2025,31/07/2025,22882,85,18132,624
2025,7,225,01/07/2025,31/08/2025,21143,79,16754,577
2025,8,225,01/08/2025,30/09/2025,20608,77,16330,562
2025,9,225,01/09/2025,31/10/2025,20741,77,16435,566
2025,10,225,01/10/2025,30/11/2025,21057,78,16686,574
2025,11,225,01/11/2025,31/12/2025,21113,79,16730,576
2025,12,225,01/12/2025,31/01/2026,20929,78,16584,571
2025,1,400,01/01/2025,28/02/2025,37345,2793,31388,2916
2025,2,400,01/02/2025,31/03/2025,41416,3098,34810,3234
2025,3,400,01/03/2025,30/04/2025,39647,2966,33323,3096
2025,4,400,01/04/2025,31/05/2025,36484,2729,30665,2849
2025,5,400,01/05/2025,30/06/2025,34131,2553,28687,2665
2025,6,400,01/06/2025,31/07/2025,32192,2408,27057,2514
2025,7,400,01/07/2025,31/08/2025,29650,2218,24921,2315
2025,8,400,01/08/2025,30/09/2025,34310,2566,28838,2679
2025,9,400,01/09/2025,31/10/2025,34578,2586,29063,2700
2025,10,400,01/10/2025,30/11/2025,35152,2629,29545,2745
2025,11,400,01/11/2025,31/12/2025,35298,2640,29668,2756
2025,12,400,01/12/2025,31/01/2026,35044,2621,29454,2736
2025,1,410,01/01/2025,28/02/2025,31493,3027,9375,305
2025,2,410,01/02/2025,31/03/2025,29371,2823,8744,285
2025,3,410,01/03/2025,30/04/2025,28097,2701,8364,272
2025,4,410,01/04/2025,31/05/2025,25838,2484,7692,251
2025,5,410,01/05/2025,30/06/2025,24154,2322,7191,234
2025,6,410,01/06/2025,31/07/2025,22764,2188,6777,221
2025,7,410,01/07/2025,31/08/2025,24955,2399,7429,242
2025,8,410,01/08/2025,30/09/2025,24339,2340,7246,236
2025,9,410,01/09/2025,31/10/2025,24513,2356,7298,238
2025,10,410,01/10/2025,30/11/2025,24903,2394,7414,242
2025,11,410,01/11/2025,31/12/2025,24989,2402,7439,242
2025,12,410,01/12/2025,31/01/2026,24790,2383,7380,240
2025,1,420,01/01/2025,28/02/2025,18903,1344,18449,1524
2025,2,420,01/02/2025,31/03/2025,17617,1252,17194,1420
2025,3,420,01/03/2025,30/04/2025,16842,1197,16438,1358
2025,4,420,01/04/2025,31/05/2025,15476,1100,15105,1248
2025,5,420,01/05/2025,30/06/2025,14456,1028,14109,1165
2025,6,420,01/06/2025,31/07/2025,16216,1153,15827,1307
2025,7,420,01/07/2025,31/08/2025,14983,1065,14623,1208
2025,8,420,01/08/2025,30/09/2025,14604,1038,14254,1177
2025,9,420,01/09/2025,31/10/2025,14699,1045,14346,1185
2025,10,420,01/10/2025,30/11/2025,14922,1061,14564,1203
2025,11,420,01/11/2025,31/12/2025,14962,1063,14603,1206
2025,12,420,01/12/2025,31/01/2026,14831,1054,14475,1196
2025,1,421,01/01/2025,28/02/2025,27125,110,13657,275
2025,2,421,01/02/2025,31/03/2025,30023,121,15117,305
2025,3,421,01/03/2025,30/04/2025,28749,116,14475,292
2025,4,421,01/04/2025,31/05/2025,26465,107,13325,268
2025,5,421,01/05/2025,30/06/2025,24767,100,12470,251
2025,6,421,01/06/2025,31/07/2025,23368,94,11766,237
2025,7,421,01/07/2025,31/08/2025,21532,87,10841,218
2025,8,421,01/08/2025,30/09/2025,20925,85,10536,212
2025,9,421,01/09/2025,31/10/2025,25070,101,12623,254
2025,10,421,01/10/2025,30/11/2025,25494,103,12836,259
2025,11,421,01/11/2025,31/12/2025,25609,103,12894,260
2025,12,421,01/12/2025,31/01/2026,25434,103,12806,258
2025,1,425,01/01/2025,28/02/2025,21316,56,16271,1062
2025,2,425,01/02/2025,31/03/2025,19860,52,15159,990
2025,3,425,01/03/2025,30/04/2025,18979,50,14487,946
2025,4,425,01/04/2025,31/05/2025,17433,46,13307,869
2025,5,425,01/05/2025,30/06/2025,16278,43,12425,811
2025,6,425,01/06/2025,31/07/2025,18295,48,13965,912
2025,7,425,01/07/2025,31/08/2025,16899,44,12899,842
2025,8,425,01/08/2025,30/09/2025,16466,43,12568,821
2025,9,425,01/09/2025,31/10/2025,16567,43,12646,826
2025,10,425,01/10/2025,30/11/2025,16812,44,12833,838
2025,11,425,01/11/2025,31/12/2025,16851,44,12862,840
2025,12,425,01/12/2025,31/01/2026,19889,52,15181,991
2025,1,430,01/01/2025,28/02/2025,43738,2326,4619,203
2025,2,430,01/02/2025,31/03/2025,40735,2167,4302,189
2025,3,430,01/03/2025,30/04/2025,38914,2070,4109,180
2025,4,430,01/04/2025,31/05/2025,35731,1901,3773,165
2025,5,430,01/05/2025,30/06/2025,39724,2113,4195,184
2025,6,430,01/06/2025,31/07/2025,37558,1998,3966,174
2025,7,430,01/07/2025,31/08/2025,34680,1845,3662,161
2025,8,430,01/08/2025,30/09/2025,33779,1797,3567,156
2025,9,430,01/09/2025,31/10/2025,33974,1807,3588,157
2025,10,430,01/10/2025,30/11/2025,34465,1833,3640,160
2025,11,430,01/11/2025,31/12/2025,34530,1837,3646,160
2025,12,430,01/12/2025,31/01/2026,40835,2172,4312,189
