year,month,branchNumber,underwritingYear,lossYear,outstandingClaimsGross,outstandingClaimsRi,ibnrGross,ibnrRi,actuarialEstimateGross,actuarialEstimateRi
2024,3,100,2024,2024,9717,4086,6478,2724,16195,6810
2024,6,100,2024,2024,17470,7346,11647,4897,29117,12243
2024,9,100,2024,2024,25156,10578,16771,7052,41927,17630
2024,12,100,2024,2024,34664,14576,23110,9717,57774,24293
2024,3,100,2024,2025,4165,1751,2776,1167,6941,2918
2024,6,100,2024,2025,7487,3148,4991,2099,12478,5247
2024,9,100,2024,2025,10781,4534,7188,3022,17969,7556
2024,12,100,2024,2025,14857,6247,9904,4165,24761,10412
2024,3,150,2024,2024,12470,8859,8313,5906,20783,14765
2024,6,150,2024,2024,22412,15922,14941,10614,37353,26536
2024,9,150,2024,2024,32269,22924,21513,15283,53782,38207
2024,12,150,2024,2024,44471,31592,29648,21062,74119,52654
2024,3,150,2024,2025,5344,3796,3563,2531,8907,6327
2024,6,150,2024,2025,9605,6823,6404,4549,16009,11372
2024,9,150,2024,2025,13830,9824,9220,6550,23050,16374
2024,12,150,2024,2025,19060,13540,12706,9026,31766,22566
2024,3,200,2024,2024,4498,4171,2998,2781,7496,6952
2024,6,200,2024,2024,8081,7494,5387,4996,13468,12490
2024,9,200,2024,2024,11891,11028,7927,7352,19818,18380
2024,12,200,2024,2024,16292,15110,10862,10074,27154,25184
2024,3,200,2024,2025,1928,1788,1285,1192,3213,2980
2024,6,200,2024,2025,3463,3212,2309,2142,5772,5354
2024,9,200,2024,2025,5096,4727,3398,3151,8494,7878
2024,12,200,2024,2025,6983,6476,4655,4318,11638,10794
2024,3,210,2024,2024,3714,3047,2476,2031,6190,5078
2024,6,210,2024,2024,6886,5648,4591,3766,11477,9414
2024,9,210,2024,2024,10250,8408,6834,5606,17084,14014
2024,12,210,2024,2024,13887,11392,9258,7594,23145,18986
2024,3,210,2024,2025,1592,1306,1062,871,2654,2177
2024,6,210,2024,2025,2951,2421,1968,1614,4919,4035
2024,9,210,2024,2025,4393,3604,2929,2402,7322,6006
2024,12,210,2024,2025,5952,4882,3968,3255,9920,8137
2024,3,221,2024,2024,727,186,484,124,1211,310
2024,6,221,2024,2024,1307,335,871,223,2178,558
2024,9,221,2024,2024,1840,472,1226,314,3066,786
2024,12,221,2024,2024,2551,654,1700,436,4251,1090
2024,3,221,2024,2025,311,80,207,53,518,133
2024,6,221,2024,2025,560,143,373,96,933,239
2024,9,221,2024,2025,788,202,526,135,1314,337
2024,12,221,2024,2025,1093,280,729,187,1822,467
2024,3,225,2024,2024,5913,4685,3942,3124,9855,7809
2024,6,225,2024,2024,11345,8989,7563,5993,18908,14982
2024,9,225,2024,2024,16355,12959,10903,8639,27258,21598
2024,12,225,2024,2024,21745,17230,14497,11487,36242,28717
2024,3,225,2024,2025,2534,2008,1689,1338,4223,3346
2024,6,225,2024,2025,4862,3852,3241,2568,8103,6420
2024,9,225,2024,2025,7009,5554,4673,3703,11682,9257
2024,12,225,2024,2025,9319,7384,6213,4923,15532,12307
2024,3,400,2024,2024,10192,8567,6795,5711,16987,14278
2024,6,400,2024,2024,18896,15881,12597,10588,31493,26469
2024,9,400,2024,2024,28129,23641,18752,15761,46881,39402
2024,12,400,2024,2024,38108,32029,25405,21353,63513,53382
2024,3,400,2024,2025,4369,3672,2912,2448,7281,6120
2024,6,400,2024,2025,8099,6807,5399,4538,13498,11345
2024,9,400,2024,2025,12056,10133,8037,6755,20093,16888
2024,12,400,2024,2025,16333,13727,10888,9151,27221,22878
2024,3,410,2024,2024,3466,1032,2311,688,5777,1720
2024,6,410,2024,2024,6877,2047,4585,1365,11462,3412
2024,9,410,2024,2024,10028,2985,6685,1990,16713,4975
2024,12,410,2024,2024,13423,3997,8949,2664,22372,6661
2024,3,410,2024,2025,1486,443,990,295,2476,738
2024,6,410,2024,2025,2948,877,1965,585,4913,1462
2024,9,410,2024,2025,4298,1279,2865,853,7163,2132
2024,12,410,2024,2025,5753,1712,3835,1142,9588,2854
2024,3,420,2024,2024,16331,15939,10887,10626,27218,26565
2024,6,420,2024,2024,30331,29604,20221,19736,50552,49340
2024,9,420,2024,2024,43226,42190,28818,28126,72044,70316
2024,12,420,2024,2024,58213,56816,38808,37878,97021,94694
2024,3,420,2024,2025,6999,6831,4666,4554,11665,11385
2024,6,420,2024,2025,13000,12688,8666,8458,21666,21146
2024,9,420,2024,2025,18526,18082,12351,12054,30877,30136
2024,12,420,2024,2025,24949,24350,16632,16233,41581,40583
2024,3,421,2024,2024,3454,1739,2302,1159,5756,2898
2024,6,421,2024,2024,6203,3122,4135,2082,10338,5204
2024,9,421,2024,2024,9128,4595,6086,3064,15214,7659
2024,12,421,2024,2024,12508,6298,8339,4198,20847,10496
2024,3,421,2024,2025,1480,745,986,497,2466,1242
2024,6,421,2024,2025,2658,1338,1772,892,4430,2230
2024,9,421,2024,2025,3911,1969,2608,1313,6519,3282
2024,12,421,2024,2025,5360,2699,3574,1799,8934,4498
2024,3,425,2024,2024,17236,13156,11490,8771,28726,21927
2024,6,425,2024,2024,31017,23675,20678,15784,51695,39459
2024,9,425,2024,2024,43691,33349,29127,22233,72818,55582
2024,12,425,2024,2024,59512,45426,39675,30284,99187,75710
2024,3,425,2024,2025,7387,5638,4924,3759,12311,9397
2024,6,425,2024,2025,13292,10146,8862,6764,22154,16910
2024,9,425,2024,2025,18724,14292,12483,9528,31207,23820
2024,12,425,2024,2025,25505,19468,17003,12978,42508,32446
2024,3,430,2024,2024,27432,2897,18288,1932,45720,4829
2024,6,430,2024,2024,49335,5210,32890,3474,82225,8684
2024,9,430,2024,2024,69445,7333,46297,4889,115742,12222
2024,12,430,2024,2024,96284,10168,64189,6778,160473,16946
2024,3,430,2024,2025,11756,1242,7838,828,19594,2070
2024,6,430,2024,2025,21144,2233,14096,1489,35240,3722
2024,9,430,2024,2025,29763,3143,19842,2095,49605,5238
2024,12,430,2024,2025,41265,4358,27510,2905,68775,7263
