year,month,branchNumber,underwritingYear,lossYear,outstandingClaimsGross,outstandingClaimsRi,ibnrGross,ibnrRi,actuarialEstimateGross,actuarialEstimateRi
2026,3,100,2026,2026,570720,80688,380480,53792,951200,134480
2026,6,100,2026,2026,1155024,162624,770016,108416,1925040,271040
2026,9,100,2026,2026,1728720,242112,1152480,161408,2881200,403520
2026,12,100,2026,2026,2366448,332688,1577632,221792,3944080,554480
2026,3,100,2025,2025,155856,21648,103904,14432,259760,36080
2026,6,100,2025,2025,325680,44832,217120,29888,542800,74720
2026,9,100,2025,2025,492576,68256,328384,45504,820960,113760
2026,12,100,2025,2025,492576,68256,328384,45504,820960,113760
2026,3,100,2025,2026,75936,10128,50624,6752,126560,16880
2026,6,100,2025,2026,146928,19872,97952,13248,244880,33120
2026,9,100,2025,2026,214176,29328,142784,19552,356960,48880
2026,12,100,2025,2026,292560,39840,195040,26560,487600,66400
2026,3,100,2024,2024,44304,6048,29536,4032,73840,10080
2026,6,100,2024,2024,81504,11136,54336,7424,135840,18560
2026,9,100,2024,2024,81504,11136,54336,7424,135840,18560
2026,12,100,2024,2024,81504,11136,54336,7424,135840,18560
2026,3,150,2026,2026,1996224,162000,1330816,108000,3327040,270000
2026,6,150,2026,2026,4234032,339840,2822688,226560,7056720,566400
2026,9,150,2026,2026,5991216,479376,3994144,319584,9985360,798960
2026,12,150,2026,2026,8310000,666720,5540000,444480,13850000,1111200
2026,3,150,2025,2025,632304,52320,421536,34880,1053840,87200
2026,6,150,2025,2025,1256592,103104,837728,68736,2094320,171840
2026,9,150,2025,2025,1837968,149232,1225312,99488,3063280,248720
2026,12,150,2025,2025,1837968,149232,1225312,99488,3063280,248720
2026,3,150,2025,2026,301536,24240,201024,16160,502560,40400
2026,6,150,2025,2026,628368,51168,418912,34112,1047280,85280
2026,9,150,2025,2026,927936,75072,618624,50048,1546560,125120
2026,12,150,2025,2026,1253040,102576,835360,68384,2088400,170960
2026,3,150,2024,2024,136896,10896,91264,7264,228160,18160
2026,6,150,2024,2024,295104,23472,196736,15648,491840,39120
2026,9,150,2024,2024,295104,23472,196736,15648,491840,39120
